id,generation,parent1,parent2,[in] input00,[in] input01,[in] input02,[in] input03,[in] input04,[in] input05,[in] input06,[in] input07,[in] input08,[in] input09,[in] input10,[in] input11,[in] input12,[in] input13,[in] input14,[in] input15,[in] input16,[in] input17,[in] input18,[in] input19,[in] input20,[min] weight
57,0,None,None,15.16679405,8.736787909,8.909548629,1.484250936,2.298702647,0.801432457,0.961932,4.61637201,3.524539585,2.581672401,2.026473688,12.16381359,19.27880534,0.933854979,0.591270158,4.860794395,9.705409718,11.59976841,24.67059689,18.18025834,5.337421605,176580372.8
58,0,None,None,15.20007203,9.134859168,8.2534951,3.882945613,3.338679757,0.583003258,0.083687137,4.529404825,4.604669792,5.390727242,2.733657106,18.61637581,17.47375676,0.153581154,0.754678886,1.159276213,6.036566798,2.194366091,27.13754389,8.273626906,1.794593302,215431981
59,1,28,None,12.61637956,9.330680282,7.492684702,3.314072856,2.111584102,0.608089405,0.990361754,3.855872747,4.934353203,4.976483517,5.225087619,10.35636045,12.67374379,0.365466908,0.367209292,3.584471161,6.15540645,25.78152862,0.238626216,9.212797752,22.33826934,47888.88136
60,1,49,None,19.03909037,7.235752755,8.820840189,2.279570451,1.25859016,0.435668994,0.045527537,3.393884709,3.244210575,3.89081401,2.573139327,17.86769913,13.98114085,0.779424361,0.419900725,3.959247375,9.894988062,26.77353046,6.182693286,6.902428993,9.285812219,710942.5815
61,1,20,None,12.79286238,9.99648329,7.501168672,1.474179097,3.713284222,0.93277061,0.532485342,3.758023458,4.183805559,2.565265466,3.585022567,15.52264372,15.63983747,0.905859531,1.334256058,2.752808916,4.225432276,22.62845867,9.976407369,1.097699337,6.035060665,781485.6467
62,1,12,None,11.2432238,5.860257386,8.048131984,2.834268442,1.363009206,0.292389833,0.749707665,2.089999271,4.034575427,5.330460234,4.858540468,10.34668333,10.07220967,1.482424027,1.09797925,3.087833697,9.533637102,14.7548278,7.685919006,7.459748077,4.34674687,929785.6527
63,1,18,None,17.40210849,5.641307611,6.166045089,1.052288918,3.949742742,0.224852641,0.297620834,3.355484767,3.870277355,4.445640891,2.063303127,14.93569538,16.52737307,0.658817671,0.836159492,1.483136484,4.40628863,28.32902629,14.02825017,18.49351638,7.188354549,1094870.551
64,1,53,None,17.50788537,8.23058666,9.286987574,1.971426457,2.535693236,0.936310395,0.207389494,4.004786955,3.212030695,4.61182247,2.670342858,10.71292942,14.3774051,0.231978128,0.303475379,2.413345326,6.75928838,22.77730421,18.82651846,7.108833172,5.432668471,1235009.187
65,1,31,None,13.49857812,5.008550353,9.997289792,2.639432232,2.244190339,0.73407763,0.417102586,3.594479479,2.221037065,6.400893353,6.231065259,16.57436281,18.29806051,1.393328982,0.307995065,2.477818759,5.109566452,24.15495979,15.41271267,7.279458938,3.679574434,1537232.367
66,1,25,None,13.41461153,5.881277504,7.684250028,3.027960811,1.505434751,0.770669025,0.550755745,3.082437044,3.279724942,3.369435218,3.021289392,19.58721529,16.52303332,0.026412019,0.475318913,3.012924709,5.696233125,28.56681144,5.046143582,2.751661269,14.57909778,2522715.477
67,1,13,None,15.45111008,6.159917225,8.97621879,3.509627815,1.169142762,0.244940128,0.255131112,4.902835405,4.420715256,2.256158557,4.674253748,10.60547871,12.31583895,0.108461248,0.322464178,4.738141259,9.565370087,21.93114199,12.68245174,15.31480793,14.45439202,4302344.715
68,1,38,None,13.63297145,6.403917325,7.757217657,1.039566352,2.020905941,0.079246712,0.702170938,3.207609238,2.133740773,4.49655988,5.414592493,13.34097505,12.03234365,0.266598038,0.013199685,4.900690824,8.147098692,17.17008327,15.78315819,12.22530237,16.72908475,4619027.991
69,1,45,23,16.91414545,9.240138551,9.153029651,3.018569933,3.263739663,0.601771289,0.269711806,2,3.111588393,2,2,13.45716458,12.18569996,0.19790423,1.122988044,3.605970545,5.704117846,3.418996866,7.28378812,19.41507854,22.76252671,164760471.8
70,1,18,38,14.77625446,5.906252908,6.952980838,1.041472937,2.972305753,0.264657328,0.38190612,3.252352367,2.411936579,4.461189132,2,13.96964646,16.71136726,0.684531082,0.696813433,1.097442524,8.185084111,26.28897805,15.64853816,18.56847786,18.42630802,4897865.653
71,1,4,56,10,5.823304581,8.980809651,1.314353583,2.998715335,0.583540323,0.438219049,3.3589913,2.259264508,5.717841885,2.484913074,11.50508594,13.65407458,0.51447295,0.477485401,3.777004491,6.964156678,6.220548052,16.63271466,14.28196849,16.52698695,77655524.85
72,1,6,13,16.96848553,8.994065566,9.817941952,3.539250637,1.488545271,0.207307796,0.751407756,5,4.099666673,2.593214666,5.557448291,10.71882096,15.81926871,0.090615973,0.569014314,4.659918396,9.21583409,21.6668973,20.28449454,13.42227461,21.08778487,66823.83466
73,1,11,15,19.11142303,7.181999569,5.28424037,3.738540242,2.092295325,0.620754883,0.06800421,3.388952603,2.870078488,4.323936653,7,13.56458093,13.71975226,1.401884451,0.743682479,2.618373792,8.749309882,0,18.96871262,7.519354138,21.61753829,65733403.16
